Year,Province_Region,Year,Unemployment_Rate
2018,Lâm Đồng,2018,0.08
2019,Điện Biên,2019,0.47
2020,Lai Châu,2020,0.42
2021,Điện Biên,2021,0.51
2022,Điện Biên,2022,0.39
2023,Điện Biên,2023,0.31
